Headlines,Summary,URL
Gasps and disbelief in US as Olympic dream of 'Quad God' crumbles,"At the skating rink in Virginia where Ilia Malinin trains, his teammates and closest friends gathered, expecting to watch him win gold.",https://www.bbc.com/news/videos/c93wgxnk351o
What is the SAVE America Act that mandates voter ID?,"Democrats say the legislation disenfranchises voters, while Republicans say it is necessary to stop voter fraud.",https://www.bbc.com/news/articles/crk845r4vlyo
Canada Supreme Court overturns one-vote election win in Quebec,The ruling leaves Prime Minister Mark Carney’s Liberals three seats short of a House of Commons majority.,https://www.bbc.com/news/articles/c9q57y4wly7o
"ICE agents may have lied about shooting of migrant in Minneapolis, officials say",Acting director Todd Lyons says the two officers were immediately placed on administrative leave.,https://www.bbc.com/news/articles/cy8l9jp1z3yo
Don Lemon pleads not guilty in Minnesota church protest case,The former CNN host and eight others have been charged for interrupting a church service to protest immigration raids in the state.,https://www.bbc.com/news/articles/cge89r1e158o
Trump administration sues Harvard over data on race in admissions,The lawsuit marks the latest clash in an ongoing legal battle between the White House and the university.,https://www.bbc.com/news/articles/clygnv7z8jxo
Six possible effects of Trump's climate policy change,The announcement on Thursday removes the legal bedrock for much of US environmental legislation.,https://www.bbc.com/news/articles/cd03ee39945o
Top Goldman Sachs lawyer who called Epstein 'Uncle Jeffrey' resigns,"Emails show the high-flying attorney likened the convicted paedophile to ""an older brother"" and accepted luxury gifts.",https://www.bbc.com/news/articles/cy57l501v2yo
"Who were the victims of the shootings in Tumbler Ridge, Canada?","Eight people were killed, ranging in age from 11 to 39, with 25 people injured in the shootings at a school and a home.",https://www.bbc.com/news/articles/c0rjg9ddgkqo
Watch SpaceX rocket blast off to International Space Station,Watch moment Falcon 9 rocket blasts off to International Space Station,https://www.bbc.com/news/videos/c4gj39dprkno
How Andrew's BBC interview compares to what Epstein emails tell us now,"Following the latest release of the Epstein files, claims made by the then Prince Andrew in 2019 are under fresh scrutiny.",https://www.bbc.com/news/videos/c20jepq911zo
'Everyone knows somebody affected': Small Canadian town united in grief after mass shooting,"The shooting in British Columbia has been met with shock and sadness, with residents saying nearly everyone has been impacted in some way.",https://www.bbc.com/news/articles/czj17z7l9jmo
FBI releases description of suspect in Nancy Guthrie kidnapping,The 84-year-old mother of news anchor Savannah Guthrie disappeared from her Arizona home two weeks ago.,https://www.bbc.com/news/articles/cnv63jljnz0o
Tumbler Ridge mass shooting: What we know so far,"Eight people have been killed and 25 injured in the shootings at a school and home in a rural community in western Canada, police say.",https://www.bbc.com/news/articles/c1e98w35qyjo
"Costs from Trump's tariffs paid mainly by US firms and consumers, NY Fed says","Last year, collective import tariff rates on various goods coming into the US more than tripled.",https://www.bbc.com/news/articles/c78x9256pn7o
DHS shutdown looms as funding bill fails over immigration demands,"Democrats block a funding bill in the Senate, after disagreement over putting new restrictions on immigration agents",https://www.bbc.com/news/articles/cx2rlzqjglvo
The US economy is growing - so where are all the jobs?,"As hiring rates and job openings drop, some worry a tough job market could be here to stay.",https://www.bbc.com/news/articles/c3ewje4xk3yo
Troop who fell overboard becomes first American killed in drug boat targeting operation,The 21-year-old Marine fell from a US battleship and was declared dead after a three-day search.,https://www.bbc.com/news/articles/c9q5lr59e8go
Analysis: Trump takes victory lap after biggest climate rollback yet,The move marks the culmination of a decade-long push by the US president to tear up climate policies he argues stifle industry.,https://www.bbc.com/news/articles/cvg8xjm8932o
Judge blocks US military from demoting Mark Kelly over 'illegal orders' video,"After the retired navy captain told service members they don't have to obey illegal orders, US Defence Secretary Hegseth moved to cut his rank.",https://www.bbc.com/news/articles/cvgk4vl30vko
"Minnesota immigration enforcement surge is ending, Trump border tsar says","Two US citizens were killed in Minneapolis during the crackdown dubbed ""Operation Metro Surge"".",https://www.bbc.com/news/articles/c2lr9w29zwyo
Canada mass shooting suspect had police visits over mental health struggles,"Police say the suspect's firearms licence expired two years ago, and exactly who owned the guns used in the attack is unclear.",https://www.bbc.com/news/articles/clyz2x4yzqgo
Weekly quiz: What was written on Bad Bunny's ball at the Super Bowl?,How much attention did you pay to what happened in the world over the past seven days?,https://www.bbc.com/news/articles/cm2100nl0e7o
Four takeaways from Pam Bondi's fiery Epstein testimony,Lawmakers accused Bondi's justice department of making improper redactions to Epstein files as she fired back.,https://www.bbc.com/news/articles/cq6ql2n917zo
US border tsar: Minneapolis immigration enforcement surge ending,"The recent surge of more than 2,000 immigration officers to the state inspired nationwide protests after two US citizens were killed by federal agents last month.",https://www.bbc.com/news/videos/c8jxyknd1g2o
Hear James Van Der Beek talk about end of Dawson's Creek in 2003,"The star, who has died at the age of 48, spoke to the BBC in 2003 about his feelings on leaving his best-known role.",https://www.bbc.com/news/videos/c5ykgkwl0e2o
Prince Harry thanks bereaved families taking on social media firms,The Duke of Sussex addressed parents claiming Instagram and YouTube damage young people's mental health.,https://www.bbc.com/news/articles/ce8w968y7p1o
Police identify 18-year-old as suspect in Tumbler Ridge shooting,A candlelit vigil was held on Wednesday night in the remote British Columbia town where six people were killed and dozens injured.,https://www.bbc.com/news/articles/ce8w95knp55o
BBC in Nancy Guthrie's hometown as sniffer dogs help search for clues,"Nancy Guthrie, 84, was abducted from her home near Tucson, Arizona, prompting a widespread search and appeals from her family.",https://www.bbc.com/news/videos/c77e4n7p353o
'One in a billion': Dawson's Creek stars lead tributes to James Van Der Beek,"Katie Holmes pays tribute to her late co-star's ""bravery, compassion, selflessness and strength"".",https://www.bbc.com/news/articles/cewz2yr47dvo
Party balloon or cartel drones? Closure of El Paso airspace causes 'chaos',The sudden 10-day closure of El Paso's airspace reportedly followed a spat over drone technology testing by the US military.,https://www.bbc.com/news/articles/cqxdwjn578do
"More than 2,000 miles and 109 days later, monks finish 'Walk for Peace'","The BBC spoke with spectators who walked alongside the monks for the last leg of their trek, from Capitol Hill to the Lincoln Memorial.",https://www.bbc.com/news/videos/cdjm3x8ggzzo
US House votes to overturn Trump's tariffs on Canada,Six Republican lawmakers joined Democrats to back a resolution that seeks to end the tariffs Trump imposed on Canada last year.,https://www.bbc.com/news/articles/clyz2142e77o
Dawson's Creek star James Van Der Beek dies aged 48,"The father of six starred in multiple popular shows and films in the late 1990s and early 2000s, including Dawson's Creek and Varsity Blues.",https://www.bbc.com/news/articles/ce3x0lnyxd3o
"Spats, theatrics and a walkout - How the Pam Bondi hearing unfolded","The US Attorney General faced lawmakers during a hearing that covered the handling of the Jeffrey Epstein files, among other investigations.",https://www.bbc.com/news/videos/cd70nvynlelo
How the Tumbler Ridge school shooting unfolded,"The shooting left nine people dead and at least 25 wounded, with one student saying he barricaded in a classroom for two hours.",https://www.bbc.com/news/videos/clyx2jq785no
Casey Wasserman to stay as chair of LA 2028 Olympics after Epstein files fallout,The LA28 Olympics committee decided mentions of the prominent talent agent in the Epstein files did not go beyond what was already publicly documented.,https://www.bbc.com/news/articles/crl4nkg11zjo
'The nation mourns' - Canada leaders react to school shooting,Mark Carney and Pierre Polievre offered condolences after nine people were shot dead in the town of Tumbler Ridge in British Columbia.,https://www.bbc.com/news/videos/cy03ld3gz36o
'It was terrifying': Tumbler Ridge's tight-knit community in shock after shooting,Members of the remote community have spoken of their fear and uncertainty after nine people were killed.,https://www.bbc.com/news/articles/cddn078mnn5o
Police release man detained in connection to Nancy Guthrie disappearance,"Police had searched the home of the person, who was taken into custody at a traffic stop.",https://www.bbc.com/news/articles/cr5l4yy3ezmo
Grand jury declines to charge Democrats in 'illegal orders' video,"A federal grand jury declined to indict the six Democratic lawmakers over a video that President Trump branded ""seditious"".",https://www.bbc.com/news/articles/cly2jnyy2yyo
What are Canada's gun ownership laws?,A deadly mass shooting in British Columbia is likely to increase scrutiny of whether Canada's gun laws should be toughened.,https://www.bbc.com/news/articles/cwy8eyz4ee0o
Michael B Jordan says Fourth Wing TV show won't be 'cheesy',The Sinners and Black Panther star is producing the TV adaptation of the hit fantasy book series.,https://www.bbc.com/news/articles/cg5n6r11n5vo
"Brad Pitt blockbuster F1 sequel in the works, producer confirms","""It's really a thrill to work with Brad,"" F1's producer Jerry Bruckheimer tells the BBC at the annual Academy Awards luncheon in Los Angeles.",https://www.bbc.com/news/articles/c8jx7kvm4leo
Who is in the Epstein files?,Millions of Epstein-related documents released by the US justice department include the names of the world's rich and powerful.,https://www.bbc.com/news/articles/cqxynz2l0g2o
Under-fire Trump commerce secretary confirms he visited Epstein's island,"Howard Lutnick says he had lunch on the island in 2012, contradicting previous claims he had cut ties with Jeffrey Epstein in 2005.",https://www.bbc.com/news/articles/cwyx9vq0ne0o
Britney Spears sells rights to entire music catalogue,She is said to have sold to independent music publisher Primary Wave on 30 December for around $200m.,https://www.bbc.com/news/articles/c0ljwyy7rrko
US lawmakers tell BBC Andrew should testify over Epstein files,"It comes after the King said the Royal Family were ""ready to support"" police in their inquiries.",https://www.bbc.com/news/articles/cx2gmde0vjlo
Behind the scenes as Oscar nominees lunch together,The BBC's Regan Morris details what the celebrity gathering was like ahead of the awards ceremony next month.,https://www.bbc.com/news/videos/cz6ew4g90lyo
Epstein files could be just tip of the iceberg for Andrew investigation,It is likely we have only seen the tip of the iceberg compared to what the police have seen.,https://www.bbc.com/news/articles/cd032xnm804o
Man guilty of XL bully offence after fatal attack,,https://www.bbc.com/news/articles/c1e98d8l2l3o
,,https://www.bbc.com/news/articles/czx41qqgzlko
Arrest after two teens found dead at holiday park,A 33-year-old man has been arrested following the discovery at Little Eden Holiday Park.,https://www.bbc.com/news/articles/czx41qqgzlko
"Epstein eyed record label investment to access women, files suggest","His associate said the music industry was ""related to P"", a way Epstein apparently often referred to women.",https://www.bbc.com/news/articles/czx41k51595o
UK has not given US permission to use RAF bases for Iran strikes,It comes as US President Donald Trump criticises Sir Keir Starmer's deal to hand over the Chagos Islands.,https://www.bbc.com/news/articles/cj98egkl7l1o
Break from wintry weather as UK temperatures to climb as high as 14C,There's a major change in the UK's weather pattern heading our way with a big lift in temperatures in time for the weekend. But with the change comes more rain as Darren Bett explains.,https://www.bbc.com/weather/articles/cn71x850gyyo
Lobbying firm co-founded by Mandelson on brink of collapse,"Global Counsel says administrators will take control on Friday, blaming the ""maelstrom"" surrounding Mandelson.",https://www.bbc.com/news/articles/cz9q57y9y3xo
Starmer appoints Romeo as head of UK civil service,Dame Antonia will be the first woman to hold the post and replaces Sir Chris Wormald as the UK's top civil servant.,https://www.bbc.com/news/articles/c3rz8z33rqxo
Cats may hold clues for human cancer treatment,"The household cat could hold the key to understanding certain types of cancer, such as breast cancer.",https://www.bbc.com/news/articles/cvg3n7j8xyqo
Woman's body found in freezer as man charged,Police were called to an address in Porthcawl over concerns of the welfare of a woman in her 80s.,https://www.bbc.com/news/articles/c875p22jypxo
"Climber survives 1,500ft fall before running four miles for help",Callum Laird plunged off Goat Fell mountain on Arran thanks to icy conditions.,https://www.bbc.com/news/articles/cgrzgpld152o
Ros Atkins on...unanswered Andrew questions,The BBC's Analysis Editor Ros Atkins looks at the questions around the way Buckingham Palace has responded to the various accusations against the King's brother.,https://www.bbc.com/news/videos/cpqw2p1z19vo
Dimbleby: I 'strongly believe' King wants Andrew to testify on Epstein,"Jonathan Dimbleby tells BBC Newsnight that the King will be ""feeling the pain"" of the scandal surrounding his brother.",https://www.bbc.com/news/videos/c8758251e30o
Ros Atkins on... Mandelson and the vetting system,Revelations over Peter Mandelson’s links to convicted sex offender Jeffrey Epstein have raised questions about how he became ambassador. Our Analysis Editor Ros Atkins reports.,https://www.bbc.com/news/videos/crk80xzvnypo
Moment Julia Donaldson reveals name for third Gruffalo book,"After a 20-year Gruffalo hiatus, author Julia Donaldson announces the new book's title on BBC Radio 4.",https://www.bbc.com/news/videos/cgl8lkkw6eko
Why all Olympic curling stones come from a Scottish island,A small Ayrshire business crafts curling stones by hand using rock found on an island off Scotland’s west coast.,https://www.bbc.com/news/videos/c368gzk15xyo
BBC plans David Attenborough celebration for 100th birthday,The corporation will look back on the veteran wildlife broadcaster's career for his birthday in May.,https://www.bbc.com/news/articles/c1l7m7j6lzjo
The Papers: 'Arrest of Andrew' and 'Law must take its course',The image of Andrew Mountbatten-Windsor after his release from police custody following his arrest dominated today's paper.,https://www.bbc.com/news/articles/cj32x3m310xo
"Shell-shocked, haunted photo of Andrew will be part of how arrest is remembered",Andrew Mountbatten-Windsor is the first senior royal to be arrested in modern history.,https://www.bbc.com/news/articles/czr0vj13ezjo
He told police his XL bullies were friendly – days later his mother-in-law was mauled to death,Ashley Warren is the first person in England and Wales to be prosecuted under XL bully laws.,https://www.bbc.com/news/articles/c75e6qpl4p0o
Why there's no quick fix in sight for the problem of dazzling headlights,Road users say headlight glare is an issue - but experts warn a solution might not be straightforward.,https://www.bbc.com/news/articles/cn71xyjpdl2o
My life changed in an instant after terminal diagnosis,"Patrick Malone said a new support service for people who are living with mesothelioma has been ""invaluable"".",https://www.bbc.com/news/articles/cq57w979vjqo
Bumper ski season but also avalanches in Scotland's snowy hills,Some of Scotland's mountain resorts say it has been the best winter snowsports season in six years.,https://www.bbc.com/news/articles/cq6qyjrq3e9o
"Don't make us security guards, says teacher stabbed by pupil",Liz Hopkin says teachers are not security guards and giving them handheld scanners would not help.,https://www.bbc.com/news/articles/ceqvrxy0zn0o
Deputies from islands discuss sea and air links,Ministers discus how to improve the Channel Islands connectivity covering both air and sea links.,https://www.bbc.com/news/articles/cdxgngd5y6no
Read King and police statements in full after Andrew arrest,King releases statement after Thames Valley Police says a man is in custody and officers are searching addresses in Berkshire and Norfolk.,https://www.bbc.com/news/articles/cd6zjl58734o
Royal Family tree: King Charles III's closest family and line of succession,How the line of succession passes through generations of the Royal Family,https://www.bbc.com/news/articles/c867plj4vgqo
Vehicles arrive at Sandringham Estate in Norfolk,"Unmarked police vehicles were seen arriving at Sandringham Estate, where Andrew Mountbatten-Windsor has been living.",https://www.bbc.com/news/videos/cpqw7pj2lyeo
"Do not give away Diego Garcia, Trump tells UK in fresh attack on Chagos deal",The president's comments come just a day after the US gave its official backing to the UK's Chagos deal.,https://www.bbc.com/news/articles/c309qqyer8yo
Veterans threaten MoD with legal action over LGBT compensation scheme,Lawyers for the pair say thousands of veterans could potentially be impacted.,https://www.bbc.com/news/articles/cjd9xx04n8go
'Heavy and persistent' rain causes flooding,Jersey and Guernsey governments are both issuing warnings to islanders.,https://www.bbc.com/news/articles/cdxzgney2k5o
Thousands of puffins starve to death during storms,"Dead seabirds wash up on on the south west coast, Channel Islands and French beaches.",https://www.bbc.com/news/articles/cz0g1l847ygo
Met making 'initial inquiries' into claims about Andrew protection officers,"It comes after claims emerged that protection officers ""turned a blind eye"" during visits to Jeffrey Epstein's island.",https://www.bbc.com/news/articles/cy57ry1vne0o
Ramadan a time to 'super-fast charge yourself',"Muslims in the Channel Islands say Ramadan provides a ""sense of belonging"" for many.",https://www.bbc.com/news/articles/c7vjzqqr2z4o
Pet firm ends trips to islands over ferry costs,"A pet transport company decides to stop servicing the islands due to ""complex"" ferry arrangements.",https://www.bbc.com/news/articles/cq6q74v5962o
Suspected family-run crime gang targeted in raids,The raids targeted suspects accused of a range of drug dealing and modern slavery offences.,https://www.bbc.com/news/articles/cvgj7w8ngqqo
Parents angered by lack of online safety strategy,Vicky O'Neil has raised concerns about how long it is taking the island to bring in new laws.,https://www.bbc.com/news/articles/cpv7xen99zdo
Flights to remote St Helena resume after fire safety shut-down,Flights resume on the remote St Helena island after fire safety concerns shut airport.,https://www.bbc.com/news/articles/cx2r7l799eno
Police assessing Stansted Airport private flights over Epstein ties,Essex Police says it is assessing information in relation to private flights into and out of the airport.,https://www.bbc.com/news/articles/c98q4mz831mo
Ferries resume but drivers warned of crashing waves,Sailings between Douglas and Heysham get under way after gales but a warning for waves crashing onto roads remains.,https://www.bbc.com/news/articles/cy03xglj7kpo
William says it has taken 'long time to understand my emotions',"Prince William has offered his advice to those struggling with their mental health, in a special Radio 1 panel discussion.",https://www.bbc.com/news/articles/cm21d4j26pdo
Dual nationals face scramble for UK passports as new rules come into force,Entry requirements to the UK for dual nationals are being overhauled as part of sweeping changes to the immigration system.,https://www.bbc.com/news/articles/cx2d9yk2kpjo
Ex-Mail reporter denies making payments for Lawrence information,Stephen Wright was giving evidence at the privacy case brought by the mother of the murdered teenager and others against the newspaper's publisher.,https://www.bbc.com/news/articles/c0mgwgl3xldo
Evening ferry sailings cancelled as gales return,The evening ferry sailing from Douglas to Heysham and its overnight return are cancelled.,https://www.bbc.com/news/articles/cx24r420dp9o
